Date,Aachen,Alsdorf,Baesweiler,Eschweiler,Herzogenrath,Monschau,nochnichtlokalzugeordnet,Roetgen,Simmerath,Stolberg,Würselen
20200812,30,6,10,9,1,0,,1,0,10,5
20200814,39,3,8,11,2,1,,1,0,14,4
20200817,33,4,8,11,1,1,,1,1,13,5
20200818,39,4,8,10,2,1,,1,1,13,6
20200819,35,3,9,13,5,1,,0,1,12,6
20200820,40,5,8,13,4,1,,0,1,18,5
20200821,39,8,8,11,4,1,,0,1,15,5
20200824,38,10,6,6,4,0,,0,0,21,4
20200825,30,10,3,5,3,0,,0,0,17,3
20200826,29,8,4,6,6,0,,0,0,17,3
20200827,31,7,4,6,6,1,,0,0,15,5
20200828,31,11,4,5,5,1,,0,0,20,6
20200831,24,6,2,4,4,1,,0,1,10,6
20200901,21,7,3,3,5,1,,0,1,10,6
20200902,21,8,2,4,2,1,,0,1,8,4
20200903,23,7,1,5,2,1,,0,1,8,3
20200904,22,6,1,4,2,0,,0,1,7,3
20200907,22,6,1,3,2,0,,0,1,2,2
20200908,17,5,1,3,1,0,,0,1,2,2
20200909,20,7,1,3,1,0,,0,1,2,2
20200910,26,8,1,5,1,0,,0,0,2,3
20200911,30,8,1,10,1,0,,0,0,0,5
20200914,40,10,1,11,4,0,,1,0,0,5
20200915,47,10,2,13,3,0,,1,0,5,5
20200916,57,13,2,13,4,0,,1,1,5,7
20200917,58,15,2,13,4,1,,1,1,6,9
20200918,61,17,3,16,4,1,,1,1,7,10
20200921,52,28,2,15,4,1,,1,1,4,6
20200922,50,27,1,17,3,1,,0,1,7,4
20200923,51,29,4,12,2,2,,0,1,6,2
20200924,55,33,4,11,3,2,,0,1,8,2
20200925,60,35,4,8,5,1,,0,1,8,2
20200928,84,41,4,9,6,1,,0,0,13,2
20200929,81,38,4,10,5,0,,0,0,8,3
20200930,80,38,3,11,8,0,,0,0,8,4
20201001,95,43,6,11,9,0,,0,0,7,4
20201002,109,32,4,12,14,0,,0,0,7,4
20201005,125,33,4,10,15,0,,0,0,9,10
20201006,111,31,4,4,13,0,,0,0,10,10
20201007,124,38,8,6,12,1,,0,0,10,13
20201008,138,42,10,10,11,1,,0,0,17,14
20201009,142,38,13,12,13,2,,0,1,20,13
20201012,172,45,18,17,23,6,,0,1,34,19
20201013,149,42,24,16,22,6,,0,1,32,15
20201014,161,45,32,18,25,6,,0,2,30,23
20201015,188,57,53,29,28,10,,2,7,34,31
20201016,227,59,63,32,35,9,,3,11,40,30
20201019,277,82,75,47,43,18,,6,20,43,41
20201020,274,74,75,45,39,18,,6,19,36,36
20201021,280,73,84,46,39,18,,10,24,34,37
20201022,326,81,92,59,48,17,,10,26,50,46
20201023,335,106,97,64,66,20,,10,30,67,52
20201026,470,121,144,88,102,24,28,11,35,101,80
20201027,433,112,129,80,94,21,28,16,33,104,69
20201028,433,118,122,83,110,23,5,16,32,111,70
20201029,444,132,138,96,134,26,,16,33,128,79
20201030,504,139,142,114,156,30,,17,33,147,92
20201102,485,145,123,129,159,23,14,11,20,135,82
20201103,385,113,103,114,124,20,4,7,13,105,70
20201104,407,122,105,119,132,23,9,9,15,113,81
20201105,436,130,111,133,138,20,6,8,17,133,91
20201106,448,135,113,126,156,20,15,13,20,121,89
20201109,515,130,95,120,169,14,16,10,12,129,100
20201110,474,125,86,127,126,13,16,10,13,124,96
20201111,503,130,89,137,132,15,13,8,11,140,101
20201113,559,151,99,150,143,18,18,9,18,168,97
20201116,571,140,110,151,126,11,15,7,22,169,92
20201117,515,119,93,132,116,6,13,7,21,156,80
20201118,500,126,94,145,119,8,13,7,21,168,73
20201119,563,127,91,161,122,8,12,10,24,204,70
